类别,位置,名称,地址,距离
高等院校,"119.949726,30.049214",富阳区老年大学,新兴路2号,2876
高等院校,"119.938778,30.046888",富阳社区学院,文教路2号,3734
高等院校,"119.937956,30.046999",浙江开放大学富阳学院文教路校区,文教路2号,3780
中学,"119.954362,30.068560",杭州市富阳区郁达夫中学,北渠路139号,1121
中学,"119.955948,30.062651",浙江省富阳第二中学,大桥北路51号,1323
中学,"119.943204,30.063940",杭州市富阳区郁达夫中学(文豪校区),富春街道文豪路138号,2302
中学,"119.967076,30.047638",浙江省富阳中学,富春街道馆驿里1号,2612
中学,"119.936879,30.101910",银湖中学,富祥路8号,4411
中学,"119.960899,30.030403",杭州市富阳区江南中学,春江街道雁沙路208号,4550
中学,"119.940387,30.034244",富阳区富春中学,富春街道文教路113号,4767
小学,"119.951631,30.066361",富阳区富春第六小学,东兴路88号(富阳市环境卫生管理处城东环卫所西北),1447
小学,"119.950146,30.067178",迎宾花园六小,东兴路110号三幢,1554
小学,"119.948368,30.074455",杭州市富阳区富春春蕾小学,富春街道东山村东山路25号,1705
小学,"119.948214,30.074777",东山小学(东山路),富春街道东山路25号,1728
小学,"119.959893,30.053256",富阳区富春第三小学,达夫路286号,2059
小学,"119.944461,30.064792",富春第四小学,兴达路69号,2156
小学,"119.989044,30.069069",杭州市富阳区东洲街道新民小学,东洲街道鸡笼山村环赤路9号,2265
小学,"119.937174,30.073002",杭州市求是教育集团富春第九小学,富春街道,2750
小学,"119.962175,30.046147",浙江省杭州市富阳区实验小学,富春街7号,2794
小学,"119.948672,30.047451",富春第二小学,富春街道西堤路157号,3096
幼儿园,"119.951667,30.072242",富春三幼融创园区,富春街道北渠路248号,1352
幼儿园,"119.951539,30.068059",富阳区富春第三幼儿园,富春街道公望街29号,1399
幼儿园,"119.976832,30.056025",富春第一幼儿园,江滨东大道21号西郊半岛山语庭2号,1992
幼儿园,"119.945530,30.063309",杭州方优文豪幼儿园,富春街道兴达路118号,2121
幼儿园,"119.958049,30.05307",富阳区三联幼儿园(北门北路),富春街道富春街道北门北路18号,2133
幼儿园,"119.945699,30.062630",富春街道巨利幼儿园,文豪路与兴达路交叉口东60米,2138
幼儿园,"119.943960,30.076891",东山幼儿园(丰收路),丰收路49号,2186
幼儿园,"119.944756,30.079219",杭州市富阳区富春东兴幼儿园,盛大路59号,2206
幼儿园,"119.951370,30.055063",富春街道果子幼儿园,园沙路9号,2250
幼儿园,"119.959787,30.050082",杭州市富阳区富春第一幼儿园鹳山园区,富春街道花坞南路13号,2403
综合体育馆,"119.954841,30.065733",富阳二中体育场,富阳大桥北路51号,1198
综合体育馆,"119.939623,30.047286",富阳体育中心体育馆,文教路东(富阳市体育中心内),3646
综合体育馆,"119.939994,30.046030",乐动力·富阳体育中心,桂花西路201号,3725
综合体育馆,"119.971098,30.032025",上海外国大学附属杭州学校体育馆,洋浦沙街与中沙埠巷交叉口西北120米,4378
综合体育馆,"119.921402,30.056654",百分百体育(少儿运动馆),文居街1001号宝龙城市广场二楼M1-L2006,4554
综合体育馆,"120.015396,30.073225",富阳水上运动中心,东洲街道轻舸路,4799
体育休闲服务场所,"119.954841,30.065733",富阳二中体育场,富阳大桥北路51号,1198
体育休闲服务场所,"119.951753,30.071242",两只羊棋牌室,富春街道北渠路191号192,1337
体育休闲服务场所,"119.951775,30.076351",娱乐棋牌,富春街道东山村三路98号,1459
体育休闲服务场所,"119.952575,30.063525",禾亿棋牌会所,东兴路与文居街交叉口东北60米,1513
体育休闲服务场所,"119.950053,30.066859",Z&Z FITNESS,东兴路119号,1573
体育休闲服务场所,"119.950042,30.066861",朱朱健身,东兴路与公望街交叉口东南120米,1574
体育休闲服务场所,"119.951856,30.063337",宣和汇台球俱乐部,富春街道恩波大道718号城东迎宾商城D区三楼,1582
体育休闲服务场所,"119.951120,30.064361",中影DMAX巨幕国际影城(富阳城东店),恩波大道718号恩波城市广场C区四楼,1585
体育休闲服务场所,"119.951797,30.063303",永隆城东球场,东兴路与文居街交叉口西北60米,1589
体育休闲服务场所,"119.948978,30.069430",聚盈棋牌,天时苑东区西南1门旁,1615
运动场所,"119.954841,30.065733",富阳二中体育场,富阳大桥北路51号,1198
运动场所,"119.950053,30.066859",Z&Z FITNESS,东兴路119号,1573
运动场所,"119.951856,30.063337",宣和汇台球俱乐部,富春街道恩波大道718号城东迎宾商城D区三楼,1582
运动场所,"119.951797,30.063303",永隆城东球场,东兴路与文居街交叉口西北60米,1589
运动场所,"119.957706,30.058096",亚林所篮球场,大桥路与北渠路交叉口东260米,1634
运动场所,"119.962126,30.056428",富阳春蕾足球俱乐部,小垅66号旁,1664
运动场所,"119.949620,30.064965",杭州KM蝰蟒拳击健身俱乐部(东海石油大厦北楼店),富春街道恩波大道786号第二层,1686
运动场所,"119.950072,30.063956",蓝堡运动(城东迎宾商贸城店),恩波大道718号城东迎宾商贸城F1层,1696
运动场所,"119.950268,30.063453",小铁24h无人自助台球棋牌(杭州城东店),恩波大道与文豪路交叉口东100米,1706
运动场所,"119.950003,30.063820",星绿足球俱乐部城东球场,恩波大道辅路与文豪路交叉口东北80米,1709
电影院,"119.951120,30.064361",中影DMAX巨幕国际影城(富阳城东店),恩波大道718号恩波城市广场C区四楼,1585
电影院,"119.941380,30.073798",新世界国际影城(新天地店),富春街道富春新天地商场4楼,2356
电影院,"119.944169,30.056988",橙子私影,富春街道春秋北路218号,2595
电影院,"119.941067,30.059920",横店电影城(玉长城店),春秋北路271号玉长城商业广场南楼4层,2673
电影院,"119.934568,30.069420",极光影院(鸿飞商厦店),富春街道北环路397号北环大厦东区9楼,2998
电影院,"119.932603,30.090668",万达影城(杭州富阳万达广场店),富阳万达广场(高桥地铁站D口步行400米),3858
电影院,"119.994044,30.045623",新沙岛旅游度假区公益电影放映点,新沙村村委会北侧,3939
电影院,"119.932338,30.049184",富阳新世界影城(东方茂店),金桥北路1号东方茂购物中心4层D4044,4028
电影院,"119.920972,30.057463",中影.国际影城(杭州富阳宝龙广场店),富春街道育才西路1001号(宝龙城市广场18号M17),4562
会展中心,"119.948120,30.066798",耀都德悦大酒店-会议厅,迎宾北路82耀都德悦大酒店7层,1753
会展中心,"119.966625,30.034299",中沙村文化礼堂,雁沙公寓南门西南110米,4094
美术馆,"119.936923,30.049666",艺沫书画艺术馆,孙权路233-1号(桂花西路地铁站A口步行340米),3651
美术馆,"120.013197,30.086233",王少求美术馆,东洲街道黄公望村246号,4882
美术馆,"119.938053,30.034254",大野艺术馆,文教鹿苑160-25,4885
美术馆,"119.915974,30.061556",九区美术馆,富春街道文豪路635号,4900
图书馆,"119.962967,30.047155",富阳图书馆,富春路4号,2674
图书馆,"119.957222,30.046405",达夫书屋暮壹咖啡,精品江景二期工程下水门东侧,2863
图书馆,"119.933200,30.050247",一川心流图书馆,金桥北路与横凉亭路交叉口西北角东方茂购物中心F1层C1042,3891
科技馆,"119.945386,30.038159",富阳科技馆(建设中),文华路与西堤南路交叉口东80米,4151
文化宫,"119.963816,30.047537",富阳市工人文化宫,桂花路7-6号附近,2625
文化宫,"119.940807,30.046189",富阳区文化馆,康月路79号富阳区健身大楼,3660
文化宫,"119.975734,30.038228",文化馆,大桥南路辅路与雁沙路交叉口东460米,3783
文化宫,"120.005751,30.076692",华士村青少年活动中心,江滨东大道489号,3914
文化宫,"119.925689,30.064018",杭州市富阳区青少年宫,金苑路671号,3928
档案馆,"119.940558,30.035523",杭州市富阳区城建档案馆,天河路108号,4636
